'ge'li'qu'she'zhi 隔离区设置
'ji'chu'she'shi 基础设施
'zhen'kong'guan 真空管
'an'pai'che'liang 安排车辆
'shen'shui'dao 深水稻
'zhong'yao'de'zhuan'zhe'dian 重要的转折点
'bang'fu'le 帮扶了
'huan'you 换油
'zhen'ya 镇蚜
'nong'cun'jing'ji'jing'ying'guan'li'zhan 农村经济经营管理站
'sha'xiong'tong 杀雄酮
'zhu'jie 竹节
'shou'huo'hou 收获后
'fa'zheng'jian'cha'yuan 发证检查员
'man'yu 鳗鱼
'he'guo'qiang 贺国强
'fang'an'zhi'ding 方案制订
'nong'fu'chan'pin'de'zhi'liang'xi'shu'he'zhi'liang'zhi'shu 农副产品的质量系数和质量指数
'zhan'yan 展演
'feng'li'fa'dong'ji 风力发动机
'hua'fu'bing 花腐病
'liang'you'gao'chan'chuang'jian 粮油高产创建
'sheng'tai'gong'cheng 生态工程
'wu'shuang 无霜
'nong'ye'zhi'fa'ren'yuan 农业执法人员
'zhuan'zhe'dian 转折点
'you'jie'gou'tu'rang 有结构土壤
'ge'shai'ji 割晒机
'zhuan'se'qi 转色期
'mian'tiao 面条
'an'zhong'ning 安种宁
'zong'tou'shu 总头数
'xian'gong'shang'lian 县工商联
'qing'yu 青鱼
'yi'dang 一档
'zeng'jia'shou'ru 增加收入
'dang'yuan'yi'gong 党员义工
'fu'chong'niao 伏虫脲
'he'nong'si 禾农思
'liang'you'tang 粮油糖
'fu'he'dai 复合带
'shi'rui 石蕊
'qu'de'de'cheng'xiao 取得的成效
'da'dao'she'ji'neng'li'nian'xian 达到设计能力年限
'liu'xing'xing 流行性
'hun'he'an'ji'suan'mei 混合氨基酸镁
'xue'feng 学风
'dao'gu 稻谷
'yuan'tuo 原驼
'jiao'gao 较高
'yi'chan'ding'gong 以产定工
'zhi'wen'dao'nong'die 直纹稻弄蝶
'zhi'wu'xue'jia 植物学家
'jia'ji'liu'pu'jin 甲基硫扑津
'you'liao'yu'chu'li 油料预处理
'tian'cai'an 甜菜安
'bi'fu'he'cao'ling 吡氟禾草灵
'sheng'wu'xue'jia 生物学家
'lie'chu 列出
'lan'wei 阑尾
'lv'hua'gai'zao 绿化改造
'sheng'chan'ji'di'guan'li'ren'yuan 生产基地管理人员
'yong'gong'liang'da'de'hang'ye 用工量大的行业
'bing'zai 并在
'guo'jia 果荚
'mei'mu'zeng'shi'cao'mu'hui 每亩增施草木灰
'chang'le'zhen 常乐镇
'ling'dao'xiao'zu'xia'she'ban'gong'shi'zai'ju'ren'jiao'gu 领导小组下设办公室在局人教股
'mie'ling'huang 灭铃皇
'tai'bai'fen 钛白粉
'xue'xiao'gong'yu 学校公寓
'yong'shuo 永硕
'da'xi'nan 大西南
'guo'jing 过境
'he'xin'jing'qu 核心景区
'zhan'zhe'ji 展着剂
'zai'yi'ding'cheng'du'shang 在一定程度上
'yi'shu 一熟
'zha'meng 蚱蜢
'you'hua'nong'ye'jie'gou 优化农业结构
'che'liang'shi'kong 车辆失控
'shi'fan'xian 示范县
'san'lv'yi'qing'niao'suan 三氯异氰尿酸
'cha'shu'dong'hai 茶树冻害
'kai'zhan'le 开展了
'mu'tong 木桶
'kang'dao'zhi 抗倒酯
'xi'bao'gong'cheng 细胞工程
'tu'gua'di 土瓜地
'zhong'zi'rong'zhong 种子容重
'guang'jian'xing'tian'niu 光肩星天牛
'hao'shui 耗水
'nong'ye'fa'zhan'xiang'mu'jian'she 农业发展项目建设
'za'zhong'di'er'dai 杂种第二代
'bei'yu 北玉
'ku'ban 枯斑
'tong'ji 统计
'he'zuo'nong'chang 合作农场
'su'yong'fu 苏永福
'fang'bing'chong 防病虫
'lu'feng 禄丰
'chong'lou 重楼
'cu'jin'liang'you'sheng'chan'fa'zhan 促进粮油生产发展
'ying'li'xiao'mai 硬粒小麦
'you'hu'jun'huo'zhong'bing 油壶菌火肿病
'hai'wan 海湾
'qi'dun'mei'su 齐墩霉素
'ren'zhen'xue'xi'guan'che 认真学习贯彻
'da'zhong'xing'zhao'qi'chi'jian'she 大中型沼气池建设
'nong'ye'xiang'mu'shen'bao'shu 农业项目申报书
'qu'bi 驱避
'leng'pan 冷盘
'liu'yan'song 刘炎松
'xia'wan 峡湾
'xian'jin'pei'gu 现金配股
'ye'yu'shi'jian 业余时间
'ou'zhou'fang'feng 欧洲防风
'li'jia 篱架
'gui'wei 癸未
'xi'bing'ben'sai'zuo 烯丙苯噻唑
'jia'ji'shi'ba'xi 甲基十八烯
'shui'li'zi'yuan 水力资源
'ci'gu 慈菇
'lv'chong'xian'jing 氯虫酰肼
'huang'ban'bing 黄斑病
'nong'ye'de'tou'ru 农业的投入
'qu'wei'ti'yu 趣味体育
'shu'mu'pen'jing 树木盆景
'yuan'bai'cai 圆白菜
'nong'ye'fa'zhan'zhan'lue 农业发展战略
'guang'sao'miao'qi 光扫描器
'mei'nong'ye'ren'kou'ping'jun'geng'di'mian'ji 每农业人口平均耕地面积
'jie'hun'nian'ling 结婚年龄
'zhi'bei 植被
'guo'dao 过道
'da'li'hua 大丽花
'tui'dong'cheng'xiang'xie'tiao'fa'zhan 推动城乡协调发展
'ji'fu'bing 基腐病
'wu'ji'fei 无机肥
'chao'guo 超过
'dai'kou 袋口
'dong'wu'jian'yi 动物检疫
'jin'qian'song 金钱松
'cai'cao'tong 菜草通
'jing'jia 净价
'zhang'dan 账单
'zhe'gan'lv 折干率
'cao'jian'fang 曹建方
'sai'ke'jin 赛克津
'huan'zhong 换种
'pei'fang'shi'fei 配方施肥
'ye'qing'shuang 叶青双
'chun'zhong 春种
'bu'shan'yu 不善于
'sang'di'en 桑迪恩
'bi'fa'zhan 比发展
'shi'yan'yuan 实验员
'wu'hua'guo 无花果
'wu'xu 戊戌
'chong'gu'jia 重估价
'xin'di 辛敌
'zao'chi'huo 枣尺蠖
'yi'cun'yi'pin 一村一品
'pai'quan'gou 排泉沟
'lao'qiang'ye 劳强业
'dai'dong'di'fang'jing'ji'de'fa'zhan 带动地方经济的发展
'ji'yin'xing'bu'yu 基因性不育
'fu'chong'niao 氟虫脲
'zi'jue'xing 自觉性
'la'heng'e 拉横额
'shang'ji'dang'wei 上级党委
'zheng'xiang 整厢
'xian'dai'nong'ye'fa'zhan 现代农业发展
'ji'guan'gong'zuo'zuo'feng 机关工作作风
'yao'qing'sai 邀请赛
'zhi'ming'lin 治螟磷
'zi'cha 自查
'xiang'zhang 香樟
'su'xiao'li 苏小丽
'dao'ge'xiang'zhen 到各乡镇
'xin'fang'ju 信访局
'sang'can 桑蚕
'xian'yan'cao'gong'si 县烟草公司
'xi'jun'xing'hei'ban'bing 细菌性黑斑病
'lv'xing'zhi'piao 旅行支票
'shu'zi 数字
'guo'ji'xing'shi 国际形势
'wen'ku'li 纹枯利
'ling'shou'shi'chang'xiao'fei'pin'gong'xu'bi'lv 零售市场消费品供需比率
'su'shang'xi 苏尚熙
'ji'feng 姬蜂
'la'gen'su 辣根素
'nong'min'ke'ji'pei'xun 农民科技培训
'ji'ti'tao'lun'jue'ding 集体讨论决定
'bi'chong'lin 吡虫啉
'lian'xi'ren 联系人
'pian'tan 偏瘫
'bu'fa'da 不发达
'qiao'mai 荞麦
'nong'ye'zeng'jia'zhi 农业增加值
'wu'miao 无苗
'yi'wei'jun'su 依维菌素
'shi'yong'liang 施用量
'xian'ren'shi'lao'dong'he'she'hui'bao'zhang'ju 县人事劳动和社会保障局
'qie'he'shi'ji 切合实际
'wu'shao'gui 伍绍贵
'tu'rang'mao'guan'zuo'yong 土壤毛管作用
'zheng'quan'shi'chang 证券市场
'xiu'xian'ju'ya 绣线菊蚜
'shui'jiao'di 水浇地
'jing'jun'zuo 腈菌唑
'wu'du'e 舞毒蛾
'tiao'jia 跳甲
'qin'an'ling 嗪氨灵
'zhong'guo'min'zhu'tong'meng 中国民主同盟
'dai'kuan'tie'xi'zi'jin 贷款贴息资金
'hao'wei'feng 郝伟凤
'mian'lin'de'kun'nan'he'ji'yu 面临的困难和机遇
'hao'qi'xing 好气性
'cheng'guo'lv 成果率
'chu'miao'lv 出苗率
'hui'fen'jie 灰粉蚧
'mie'you'niao'er'hao 灭幼脲二号
'gong'ju'xiang 工具箱
'leng'dong'shu'cai 冷冻蔬菜
'ru'shu'qi 乳熟期
'quan'xian 全险
'ying'ji'guan'li'gong'zuo 应急管理工作
'zhi'wu'sheng'zhang 植物生长
'qu'chong'te 驱虫特
'zhong'fen'nie 中分蘖
'zong'can'mou'bu 总参谋部
'qing'gou 清沟
'cai'xue'rong 蔡学荣
'qu'jing 曲靖
'guo'fang'bu 国防部
'liu'zhi'ming 刘志明
'wo'liu'lin 肟硫磷
'can'sang'zhan 蚕桑站
'gou'mai 购买
'jia'chong 甲虫
'lin'shi'zheng'jian 临时证件
'guang'lang 桄榔
'fu'yuan'xian 富源县
'da'feng'lei 大风雷
'shi'hui 石灰
'xian'fa'gai'wei 县发改委
'fen'bian'lv 分辨率
'zhong'yuan'gong'xue'yuan 中原工学院
'sai'man'te 噻螨特
'biao'zhang 表彰
'shi'dian'xian 施甸县
'hun'he'an'ji'suan'tong 混合氨基酸铜
'xin'xi'gang 信息港
'zai'hou 栽后
'fan'xiang'nong'min'gong'pei'xun 返乡农民工培训
'huang'hui'min 黄惠民
'xue'zai 穴栽
'mu'sang'chan'zhi'da 亩桑产值达
'yu'gao'pian 预告片
'zuo'hao 做好
'nan'fang'di'qu 南方地区
'deng'ji'bu 登记簿
'miao'teng 苗虅
'ban'ming 斑螟
'nian'zhong'zhi 年种植
'pei'he 配合
'ye'jin'xue 冶金学
'dang'fei'shou'jiao 党费收缴
'tuan'bei 团碑
'zi'ke'wei 兹克威
'wang'tong 王铜
'zhi'dao'zu 指导组
'wan'mu'shu'cai 万亩蔬菜
'bao'gu'gan 包谷秆
'bi'zi 鼻子
'yi'cheng'xiang'mu 议程项目
'xing'shi'jing'cha 刑事警察
'ying'yong'hua'xue 应用化学
'wu'ding'ping'tai 屋顶平台
'qi'ta'yuan'yi'yong'ju 其他园艺用具
'xiao'xue'lao'shi 小学老师
'huo'luo'ban'shou 活络扳手
'xiao'da'zheng 肖大正
'yu'bi 郁蔽
'yi'ji'dao 一季稻
'zi'xue 自学
'su'bao'li 速保利
'die'yi 叠椅
'xi'zhi 稀植
'chen'de'yao 陈德耀
'he'gu'lian'dao'jun'bing 禾谷镰刀菌病
'long'ke'jun 龙克菌
'chuan'shang'jiao'huo'jia 船上交货价
'qiang'jun'zuo 羟菌唑
'san'zuo'huan'xi 三唑环锡
'wu'quan'fa 物权法
'bing'du'li'ti 病毒粒体
'hu'po'suan'tong 琥珀酸铜
'zi'yuan'bao'hu 资源保护
'sheng'tai'nong'ye'zhong'yang'mo'shi 生态农业种养模式
'qiao'guan'cao'bing'mao 乔灌草并茂
'bai'yang 白杨
'xian'ren'da'ban 县人大办
'liang'you'gao'chan'shi'fan'xiang'mu 粮油高产示范项目
'yi'gui 衣柜
'mao'shi 毛石
'ben'yang'wei 苯氧威
'sha'ming'wei 杀螟威
'yu'long'na'xi'zu'zi'zhi'xian 玉龙纳西族自治县
'dai'long'lin 代垅磷
'ji'shi'zu'zhi 及时组织
'nong'yong 农用
'qin'ben 亲本
'wen'yi'ping'lun 文艺评论
'xin'lai'te 新来特
'liao'jie'diao'cha 了解调查
're'dai'zuo'wu 热带作物
'hai'lu'feng 海陆风
'wei'fu 萎福
'tu'chu'zhua'hao 突出抓好
'chong'xian'jing 虫酰肼
'ling'dao'gan'bu'neng'shang'neng'xia'zhi'du 领导干部能上能下制度
'mian'guang 面广
'shui'dian'ju 水电局
'gen'liu'jun 根瘤菌
'xia'ji'ceng 下基层
'ji'cai 蕺菜
'xing'shi 形式
'ti'ji 提及
'nong'ye'qu 农业区
'sheng'nai'shi 圣耐施
'wu'wu 五五
'gong'ren'jie'ji 工人阶级
'you'xiu'zhuan'jia 优秀专家
'jie'cai 芥菜
'lian'dao'jun'sui'li'fu'bing 镰刀菌穗粒腐病
'hui'se 灰色
'jie'duan'xing'cheng'xiao 阶段性成效
'peng'bo'xing'qi 蓬勃兴起
'ren'da'chang'wei'hui 人大常委会
'bei'zi'gu 背子谷
'sang'gan'ku'bing 桑干枯病
'sai'mei'tong 噻霉酮
'sha'man'ji 杀螨剂
'tu'fa'gong'gong'shi'jian 突发公共事件
'tu'rang'sheng'chan'li 土壤生产力
'cai'zheng'nian'du 财政年度
'yan'rong'di'qu 岩溶地区
'an'jian'ju 安监局
'long'zhong'kai'hui 隆重开会
'jia'ji'liu'jun'ling'liu 甲基硫菌灵硫
'fu'she'sheng'wu'xue 辐射生物学
'lao'wu'shu'chu 劳务输出
'zai'pei 栽培
'cha'sang'zhan 茶桑站
'you'dai'jin'yi'bu'ti'gao 有待进一步提高
'wu'gong'shou'ru 务工收入
'da'dao'yuan'chun 大稻缘蝽
'fu'qu'xing 负趋性
'quan'qu'chang'yuan'gui'hua'que'ding'de'xiang'mu 全区长远规划确定的项目
'xiao'hua'bu'liang 消化不良
'shi'zi 十字
'ye'ba'zi'mi 野坝子蜜
'bao'chi'wen'ding'yun'xing'tai'shi 保持稳定运行态势
'da'jing 打井
'mu'yang 母羊
'nong'ye'xi'tong'mo'xing 农业系统模型
'dang'de'qun'zhong'lu'xian 党的群众路线
'jing'dong'xian 景东县
'ren'zao'nai'you 人造奶油
'shu'song'tu'rang 疏松土壤
'gu'cheng 古城
'luo'guang'fu 罗光福
'sheng'tai'lin'ye 生态林业
'xiang'ge'li'la'xian 香格里拉县
'zuo'wu'bu'ju 作物布局
'chou'diao 抽调
'chui'liu 垂柳
'da'you'tong 哒幼酮
'dian'shi'ji 电视机
'dong'jie'zi'jin 冻结资金
'dou'xiao'juan'ye'e 豆小卷叶蛾
'huang'hou'cun 皇后村
'cao'dian 草甸
'nong'ye'lao'dong'li'zhuan'yi 农业劳动力转移
'tao'lun'hui 讨论会
'wan'quan'sui'ji'she'ji 完全随机设计
'mian'bao 面包
'bi'mu'ci 闭幕词
'pian'gao 偏高
'gan'lan'ye'e 甘蓝夜蛾
'jia'qiang'li'yong 加强利用
'qu'nong'ye'ting'ban'gong'shi 区农业厅办公室
'dian'yuan 店员
'lin'mu'bing'chong'hai 林木病虫害
'chuang'jian'shi'fan'ji'di 创建示范基地
'jin'yi'bu'jia'kuai 进一步加快
'sheng'chan'she'shi 生产设施
'jian'zhu'ji'xie'she'bei'shi'you'tai'shu 建筑机械设备实有台数
'wan'neng'shou'qian 万能手钳
'chang'gan'hua'tong 长杆话筒
'geng'xu 庚戌
'yao'ji'ban'zhong 药剂拌种
'ba'tian 耙田
'hao'tu'jing 好途径
'xiao'lv'xing'che 小旅行车
'er'chong'jie 二重接
'gong'zuo'zhe 工作者
'jiang'cheng 江城
'you'gu 幼菇
'yu'guo'jia'zi'jin'pei'tao'de'xiang'mu 与国家资金配套的项目
'xia'bo 下拨
'mo'ni 模拟
'shi'ban 石板
'ge'tian 搁田
'gan'hai'zi 干海子
'li'bin 李斌
'yu'mi'chan'liang 玉米产量
'ti'gao'nong'cun'fu'nv 提高农村妇女
'ren'jun'geng'di 人均耕地
'zuo'da 做大
'xin'de'ti'hui 心得体会
'jie'neng'jian'pai 节能减排
'gao'er 高二
'ma'xing 马兴
'bu'yu'xi 不育系
'dui'ni 对你
'su'zhen 苏珍
'wo'xian'li'nian'tong'qi 我县历年同期
'bo'zhuang're 波状热
'xun'yan 熏烟
'mian'hong'zhi'zhu 棉红蜘蛛
'yong'de'xian 永德县
'ban'zhu'ren 办主任
'long'yang'qu 隆阳区
'bi'ye'sheng 毕业生
'rui'ze'shui'ling 瑞泽水灵
'gai'shan'sheng'huo'tiao'jian 改善生活条件
'cha'hong'man 茶红螨
'ku'qiao'mai 苦荞麦
'yu'lei 鱼类
'bo'mei 波美
'da'qing'zao'shu 大青枣树
'xian'ren'shi'ju 县人事局
'lan'ping'bai'zu'pu'mi'zu'zi'zhi'xian 兰坪白族普米族自治县
'zi'ran'feng'guang 自然风光
'fang'zhi'gui'hua 防治规划
'cha'zhi'hei'zhi'bing 茶枝黑痣病
'shan'yang'hu 山羊胡
'shi'yan 石岩
'chong'fen'ken'ding 充分肯定
'dai'yan'ren 代言人
'yin'jin'ren'cai 引进人才
'pei'fei 培肥
'wei'pei'shi 委培式
'zheng'pian 正片
'pu'sha'wei 扑杀威
'sang'mao'chong 桑毛虫
'you'mu 游牧
'fu'lang 福朗
'xian'wen'lian 县文联
'mei'zhu 每株
'tang'cao'zhi 糖草酯
'ke'li 颗粒
'mei'zhou'bao 美洲豹
'wu'long 乌龙
'yang'zhi'shi'fan'dian 养殖示范点
'di'shui'ju 地税局
'nian'chan'zhi 年产值
'qi'dong'zi 启动子
'sheng'ri'yan'hui 生日宴会
'fu'chou 付酬
'tai'yang'fu'she 太阳辐射
'zai'ti 载体
'fu'ling 茯苓
'sang'fei'na 桑菲纳
'xian'an'tai'dan'fei 酰胺态氮肥
'da'gu'chang 打谷场
'zu'zhi'pei'yang 组织培养
'wu'ji'fei'liao 无机肥料
'yi'si 乙巳
'xiong'kou 胸口
'duo'lai'bao 多来宝
'san'hui'yi'ke 三会一课
'shi'chang'jing'ji 市场经济
'si'xiang'zheng'zhi'gong'zuo 思想政治工作
'yang'ling 秧龄
'gai'ge'fa'zhan 改革发展
'zheng'shu'you'xiao'xing 证书有效性
'yan'ge'luo'shi 严格落实
'shen'ru 深入
'jing'shen'shi'zhi 精神实质
'nong'ye'jing'chan'zhi 农业净产值
'di're'he'gu 低热河谷
'yi'ji'tuo'bu'jin 乙基托布津
'he'zuo 合作
'ao'dian 凹点
'yun'zhuan'bu'chang 运转不畅
'dai'dong 带动
'he'zhi'lian 何智莲
'zhe'xue'jia 哲学家
'te'fu'li 特福力
'nong'ye'sheng'chan'xiang'mu 农业生产项目
'shou'zhi'dong'qi 手制动器
'jie'jia 结荚
'nong'yao 农药
'ya'zui'shou 鸭嘴兽
'fu'zhu'ren 副主任
'lai'an'suan 赖氨酸
'sheng'zhang'qi 生长期
'dan'wei'gong'cheng'you'liang'pin'lv 单位工程优良品率
'wu'ding'hua'yuan 屋顶花园
'ti'miao 提苗
'kai'gong 开工
'you'ji'dan 有机氮
'jian'she 建设
'fan'mu'gua 番木瓜
'da'mu'zhi 大拇指
'ba'di 耙地
'zuo'man'zhi 唑螨酯
'nai'zi'xing 耐渍性
'pu'gai 普钙
'shang'chang 墒长
'fen'ci 粉刺
'dong'wu'ti'qu'wu 动物提取物
'ling'jun'sheng 凌俊生
'xin'da 信达
'shi'pu 食谱
'ni'suo'man'chun 尼所螨醇
'ji'si 己巳
'wang'she 王蛇
'bei'hai'shi'fu'lian 北海市妇联
'wai'shu'xing'xiang 外树形象
'zi'ran'tong'feng'gan'zao 自然通风干燥
'jie'jiao 街角
'shen'ceng'ci'de'pou'xi 深层次的剖析
'duo'chong'wei 多虫畏
'lian'dao'jun'wei'nian'bing 镰刀菌萎蔫病
'duan'lie 断裂
'fu'bi'qing 腐必清
'fu'wu'xi'tong 服务系统
'bi'guan'zi'shou 闭关自守
'ka'fei'dou 咖啡豆
'shuang'que'xian'jun'an 双炔酰菌胺
'te'fu'ling 特富灵
'bu'jiao 补交
'lin'jia 磷钾
'xu'gao 虚高
'zu'zhi'shen'ru'zai'qu 组织深入灾区
'shi'run'zhi'shu 湿润指数
'hong'la'jie 红蜡蚧
'tu'zhang 徒长
'zhou'bian'di'qu 周边地区
'ji'dan 吉单
'hua'ti 话题
'guan'li'wei'sheng 管理卫生
'yi'sai'ang 乙塞昂
'lai'chao'chang 赖超常
'shang'shang'pin'you'ji'fei 商商品有机肥
'wei'xi'li'su'zu'zi'zhi'xian 维西傈僳族自治县
'jing'xian'chong'bing 茎线虫病
'da'ling'ping 大菱鲆
'gai'liang'pei'fei 改良培肥
'wu'jun'zuo 戊菌唑
'yun'jing'you 云粳优
'jing'bi'fu'he'cao'ling 精吡氟禾草灵
'cu'dao'bing 猝倒病
'nong'zi'jia'ge 农资价格
'shi'gu'chan'liang 湿谷产量
'yuan'yin 原因
'wan'shuang 晚霜
'shou'guo'ji'jing'ji'wei'ji'ying'xiang 受国际经济危机影响
'guan'jie 冠接
'xiong'gou 雄狗
'yi'ren'wei'ben 以人为本
'fa'mie'lin 伐灭磷
'zi'cheng'xu 子程序
'peng'zhuang'yong'qi'che 碰撞用汽车
'ge'dan'wei 各单位
'mo'shui'chi 墨水池
'wan'mu 万亩
'yuan'bai'cai'di 圆白菜地
'dan'zeng 丹增
'sheng'ming 生命
'fu'man'niao 氟满脲
'hua'lun 滑轮
'ji'wen 积温
'ju'da'yuan 局大院
'lv'you'guan'li 旅游管理
'ji'he 几何
'xin'pin'zhong'de'tui'guang 新品种的推广
'hun'he'jing'ji 混合经济
'jia'shi'yuan 驾驶员
'qi'zhong'xin'zhi 其中新植
'zhi'li'xing'hua'sheng 直立型花生
'zhi'ban'fu'wu'yuan 值班服务员
'duan'da'ji'ma 端大蓟马
'you'zhi'mi 优质米
'hua'sheng'lan'zhong 花生烂种
'chang'qi'gong 长期工
'gu'piao'shi'chang 股票市场
'ke'ren 客人
'nong'yao'yuan'yao 农药原药
'ji'hua 计划
'nei'zang 内脏
'tou'ru 投入
'kang'dong'neng'li 抗冻能力
'mu'qu 牧区
'ren'chen 壬辰
'jing'jie 茎节
'ben'yang'jun'zhi 苯氧菌酯
'lao'dong'shi'jian'ping'heng'biao 劳动时间平衡表
'li'shu'qin 李淑琴
'sui'bu 穗部
'min'zheng'bu 民政部
'tong'guo 通过
'xi'mo'zhi 吸墨纸
'ju'jue 咀嚼
'yu'yu 余煜
'bai'hou'que 白喉雀
'he'ban'bing 褐斑病
'te'ji'xiao'guo 特技效果
'dang'wei'gong'zuo 党委工作
'neng'li'cha 能力差
'gan're'feng 干热风
'zao'lei 藻类
'zuo'wu'ke'xue 作物科学
'mian'fen'chu'li 面粉处理
'bi'ye'zheng'shu 毕业证书
'yi'er'nian'sheng'cao'hua 一二年生草花
'fa'sheng'hou 发生后
'pei'xun'hui 培训会
'yue'du'cheng'xu 阅读程序
'ri'gong 日工
'yu'ting 雨停
'li'shu 粒数
'ye'zi'hua 叶子花
'nong'ye'bu'men'jing'ji 农业部门经济
'zeng'zhi'shui 增值税
'huo'wu'yun'shu'liang 货物运输量
'bao'wen'ji 保温剂
'chuang'jia'bing 疮痂病
'mao'yi'cha'e 贸易差额
'can'xiang 蚕乡
'yi'liu'kong 溢流孔
'zhao'qi'fei 沼气肥
'dian'ying'she'zhi 电影摄制
'san'lv'sha'man'chun 三氯杀螨醇
'wu'ding'zhuang'ji 武定壮鸡
'fei'can'shu'fang'fa 非参数方法
'jin'zhan'jiao'kuai 进展较快
'jie'gan'huan'tian 秸秆还田
'jian'yan 检验
'nai'ji 耐瘠
'ding'chong'mi 啶虫咪
'da'li'fa'zhan 大力发展
'nong'ye'he'zuo'hua 农业合作化
'hua'yan'shi 化验室
'qu'nong'cun'gai'ge'zong'he'shi'dian'cun 区农村改革综合试点村
'huang'ci'e 黄刺蛾
'nong'ye'ren'kou 农业人口
'shang'wang'bao'xian 伤亡保险
'wu'liu'wu 五六五
'si'xiang'jiao'yu 思想教育
'li'xiao 粒小
'gui'cang 归仓
'hai'tang'hua 海棠花
'xian'dai'nong'ye'shui'dao'ji'di 现代农业水稻基地
'xu'qin'si'yang'liang 畜禽饲养量
'kou'chu'cheng'ben 扣除成本
'ding'mi'huang'long 啶嘧磺隆
'lian'he'ju'ban 联合举办
'duo'mu 多亩
'tian'cha'huang'ying'ji'ma 田茶黄硬蓟马
'xi'que 喜鹊
'cheng'xu'she'ji'yuan 程序设计员
'she'hui'lao'wu'zong'zhi 社会劳务总值
'hu'ban'bing 虎斑病
'zhu'yao'nong'chan'pin'biao'zhun'hua'sheng'chan 主要农产品标准化生产
'dian'shi 电视
'fu'zhao 辐照
'guan'yu'kai'zhan 关于开展
'di'tu'ji 地图集
'zai'zhi 栽植
'hua'xing 划行
'xiang'le'zhu'yi 享乐主义
'xi'jun'xing'tiao'wen'bing 细菌性条纹病
'xiang'zhen 乡镇
'zuo'hao'shi 做好事
'ji'ma 蓟马
'chu'cao'pa 除草耙
'xian'tu'fei'zhan 县土肥站
'qi'ta'si'liao 其他饲料
'lei'xing 类型
'lv'fu'qing'ju'zhi 氯氟氰菊酯
'yu'ce 预测
'cun'zai'de'tu'chu'wen'ti 存在的突出问题
'gai'tu'gui'liu 改土归流
'bei'ju'pian 悲剧片
'ding'cao'te 丁草特
'xi'jin'ping'zong'shu'ji 习近平总书记
'you'hua'tou'zi'ruan'huan'jing 优化投资软环境
'xiang'wei'she 响尾蛇
'gao'san 高三
'chao'bao 抄报
'xiu'xiao'chun 溴硝醇
'jiang'guo 浆果
'nong'si'ta 农思它
'ou'zhou'yu'mi'ming 欧洲玉米螟
'nong'min'qun'zhong 农民群众
'tian'cheng 甜橙
'jiang'xin'dao 江心岛
'tan'ju'fu'mei 炭疽福美
'lao'ban'fa'ban'shi 老办法办事
'xiao'man'duo 消螨多
'guo'mi'zhi 过密枝
'cao'mi'lv 糙米率
'chan'di 产地
'dong'wu'yi'xue 动物医学
'xiong'shan'yang 雄山羊
'tu'bian'zi 突变子
'yi'chuan'li 遗传力
'zhi'zi 栀子
'nong'ye'bu 农业部
'qiu'jing'gan'lan 球茎甘蓝
'bing'man'qing 丙螨氰
'chuang'zhao 床罩
'duo'tai'ci 多台次
'chuan'bo'wei'hai 传播为害
'dian'di 垫低
'duo'feng'nong 多丰农
'mu'shu'zhong'zhi'mian'ji 木薯种植面积
'wei'xing'ji'suan'ji 微型计算机
'wen'bai'die 纹白蝶
'wu'yin 武引
'yan'zhong'de'chun'han 严重的春旱
'xu'mu'shou'yi'ke'xue'yan'jiu'suo 畜牧兽医科学研究所
'fu'shu'wei'yuan'hui 附属委员会
'jia'ting'jie'ti 家庭解体
'mei'cuo 没错
'shui'ping'yi'ti'hua 水平一体化
'xi'bei'mai'chun 西北麦蝽
'mei'bao 每苞
'mie'cao'di 灭草敌
'sang'shu 桑树
'shu'lei'zuo'wu 薯类作物
'pan'yuan'zhi'wu 攀援植物
'lao'dong'li'zhuan'yi 劳动力转移
'liang'zuo 粮作
'guo'tu'zi'yuan 国土资源
'san'jiao'gua'dao 三角刮刀
'zhua'da'shi 抓大事
'zhuo'mu'niao 啄木鸟
'ke'yun'zhan 客运站
'yan'jing'she 眼镜蛇
'chuang'tou'deng 床头灯
'gen'zhong'bing 根肿病
'neng'yuan'zi'yuan'yu'shi'yong'ping'heng'biao 能源资源与使用平衡表
'bu'gou'gao 不够高
'diao'su 雕塑
'jia'ting'zuo'ye 家庭作业
'fa'zhan'ti'xi 发展体系
'nong'ye'zai'sheng'chan 农业再生产
'xin'wen'ji'zhe 新闻记者
'tu'pian'xin'wen 图片新闻
'gong'ji 供给
'jing'shi'jiao'yu 警示教育
'kong'chong'su 控虫素
'kao'xue 考学
'bai'ye'ku'bing 白叶枯病
'fa'gai'ju 发改局
'huang'long'bing 黄龙病
'xin'cheng'yi 新城疫
'cao'tong'ling 草通灵
'nong'cun'jing'ji'chun'shou'ru 农村经济纯收入
'sui'li'zhong 穗粒重
'lu'dian'xian 鲁甸县
'yue'ping'jun'wen'du 月平均温度
'chun'shou'yi 纯收益
'pu'lei'ling 扑雷灵
'xiao'chi 小吃
'pu'jing 普净
'tu'di'si'you'zhi 土地私有制
'bai'zi 摆籽
'zhi'qi'guan'yan 支气管炎
'shui'long'juan 水龙卷
'nei'zai'zi'ran'zeng'zhang'lv 内在自然增长率
'dang'yuan'zong'he'su'zhi 党员综合素质
'ge'jun'jing 咯菌腈
'luo'shuan 螺栓
'zhu'nong'zeng'shou 助农增收
'chun'xiao'mai 春小麦
'a'wei'jun'su 阿维菌素
'dan'jiao 单交
